Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(45-49),Female,Severna i yugoiztochna Bulgaria,2020,373,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,-2389.6,103.3,-86.5,0.5,2762.6 (±103.3),-2389.6 (±103.3),-86.5% (±0.5%)
(50-54),Female,Severna i yugoiztochna Bulgaria,2020,531,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,-2231.6,103.3,-80.8,0.7,2762.6 (±103.3),-2231.6 (±103.3),-80.8% (±0.7%)
(55-59),Female,Severna i yugoiztochna Bulgaria,2020,856,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,-1906.6,103.3,-69.0,1.1,2762.6 (±103.3),-1906.6 (±103.3),-69.0% (±1.1%)
(60-64),Female,Severna i yugoiztochna Bulgaria,2020,1341,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,-1421.6,103.3,-51.5,1.7,2762.6 (±103.3),-1421.6 (±103.3),-51.5% (±1.7%)
(40-44),Female,Severoiztochen,2020,60,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,-642.6,24.9,-91.5,0.3,702.6 (±24.9),-642.6 (±24.9),-91.5% (±0.3%)
(45-49),Female,Severoiztochen,2020,105,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,-597.6,24.9,-85.1,0.5,702.6 (±24.9),-597.6 (±24.9),-85.1% (±0.5%)
(50-54),Female,Severoiztochen,2020,142,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,-560.6,24.9,-79.8,0.7,702.6 (±24.9),-560.6 (±24.9),-79.8% (±0.7%)
(55-59),Female,Severoiztochen,2020,227,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,-475.6,24.9,-67.7,1.1,702.6 (±24.9),-475.6 (±24.9),-67.7% (±1.1%)
(60-64),Female,Severoiztochen,2020,367,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,-335.6,24.9,-47.8,1.8,702.6 (±24.9),-335.6 (±24.9),-47.8% (±1.8%)
(40-44),Female,Severozapaden,2020,45,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,-596.4,26.1,-93.0,0.3,641.4 (±26.1),-596.4 (±26.1),-93.0% (±0.3%)
(45-49),Female,Severozapaden,2020,88,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,-553.4,26.1,-86.3,0.5,641.4 (±26.1),-553.4 (±26.1),-86.3% (±0.5%)
(50-54),Female,Severozapaden,2020,116,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,-525.4,26.1,-81.9,0.7,641.4 (±26.1),-525.4 (±26.1),-81.9% (±0.7%)
(55-59),Female,Severozapaden,2020,180,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,-461.4,26.1,-71.9,1.1,641.4 (±26.1),-461.4 (±26.1),-71.9% (±1.1%)
(60-64),Female,Severozapaden,2020,296,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,-345.4,26.1,-53.9,1.8,641.4 (±26.1),-345.4 (±26.1),-53.9% (±1.8%)
(40-44),Female,Shumen,2020,8,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,-140.0,14.8,-94.6,0.5,148.0 (±14.8),-140.0 (±14.8),-94.6% (±0.5%)
(45-49),Female,Shumen,2020,17,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,-131.0,14.8,-88.5,1.1,148.0 (±14.8),-131.0 (±14.8),-88.5% (±1.1%)
(50-54),Female,Shumen,2020,32,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,-116.0,14.8,-78.4,1.9,148.0 (±14.8),-116.0 (±14.8),-78.4% (±1.9%)
(55-59),Female,Shumen,2020,50,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,-98.0,14.8,-66.2,3.1,148.0 (±14.8),-98.0 (±14.8),-66.2% (±3.1%)
(60-64),Female,Shumen,2020,83,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,-65.0,14.8,-43.9,5.1,148.0 (±14.8),-65.0 (±14.8),-43.9% (±5.1%)
